名称,ID,NAME,北緯(度),北緯(分),東経(度),東経(分),標高(m)
酸ヶ湯,AMeDAS_31482,SUKAYU,40,38.9,140,50.9,890
阿仁合,AMeDAS_32311,ANIAI,39,59.6,140,24.2,120
岩手松尾,AMeDAS_33226,IWATEMATSUO,39,57.1,141,3.9,275
駒ノ湯,AMeDAS_34012,KOMANOYU,38,54.8,140,49.7,525
肘折,AMeDAS_35216,HIJIORI,38,36.4,140,9.8,330
大井沢,AMeDAS_35361,OOISAWA,38,23.4,139,59.6,440
白馬,AMeDAS_48141,HAKUBA,36,41.9,137,51.7,703
水上,AMeDAS_42091,MINAKAMI,38,48,138,59.5,531
